S171 BEGIN bytes=10737418240 b=3 c=13104992256
S171 WRITE pass=1 b=10737418240 c=10737418240
S171 READ pass=1 b=268435456 c=10737418240
S171 READ pass=1 b=536870912 c=10737418240
S171 READ pass=1 b=805306368 c=10737418240
S171 READ pass=1 b=1073741824 c=10737418240
S171 READ pass=1 b=1342177280 c=10737418240
S171 READ pass=1 b=1610612736 c=10737418240
S171 READ pass=1 b=1879048192 c=10737418240
S171 READ pass=1 b=2147483648 c=10737418240
S171 READ pass=1 b=2415919104 c=10737418240
S171 READ pass=1 b=2684354560 c=10737418240
S171 READ pass=1 b=2952790016 c=10737418240
S171 READ pass=1 b=3221225472 c=10737418240
S171 READ pass=1 b=3489660928 c=10737418240
S171 READ pass=1 b=3758096384 c=10737418240
S171 READ pass=1 b=4026531840 c=10737418240
S171 READ pass=1 b=4294967296 c=10737418240
S171 READ pass=1 b=4563402752 c=10737418240
S171 READ pass=1 b=4831838208 c=10737418240
S171 READ pass=1 b=5100273664 c=10737418240
S171 READ pass=1 b=5368709120 c=10737418240
S171 READ pass=1 b=5637144576 c=10737418240
S171 READ pass=1 b=5905580032 c=10737418240
S171 READ pass=1 b=6174015488 c=10737418240
S171 READ pass=1 b=6442450944 c=10737418240
S171 READ pass=1 b=6710886400 c=10737418240
S171 READ pass=1 b=6979321856 c=10737418240
S171 READ pass=1 b=7247757312 c=10737418240
S171 READ pass=1 b=7516192768 c=10737418240
S171 READ pass=1 b=7784628224 c=10737418240
S171 READ pass=1 b=8053063680 c=10737418240
S171 READ pass=1 b=8321499136 c=10737418240
S171 READ pass=1 b=8589934592 c=10737418240
S171 READ pass=1 b=8858370048 c=10737418240
S171 READ pass=1 b=9126805504 c=10737418240
S171 READ pass=1 b=9395240960 c=10737418240
S171 READ pass=1 b=9663676416 c=10737418240
S171 READ pass=1 b=9932111872 c=10737418240
S171 READ pass=1 b=10200547328 c=10737418240
S171 READ pass=1 b=10468982784 c=10737418240
S171 READ pass=1 b=10737418240 c=10737418240
S171 PASS pass=1 b=10737418240 c=1598360524069018835
S171 TIMING write_us=3727473 b=4229790 c=0
S171 WRITE pass=2 b=268435456 c=10737418240
S171 WRITE pass=2 b=536870912 c=10737418240
S171 WRITE pass=2 b=805306368 c=10737418240
S171 WRITE pass=2 b=1073741824 c=10737418240
S171 WRITE pass=2 b=1342177280 c=10737418240
S171 WRITE pass=2 b=1610612736 c=10737418240
S171 WRITE pass=2 b=1879048192 c=10737418240
S171 WRITE pass=2 b=2147483648 c=10737418240
S171 WRITE pass=2 b=2415919104 c=10737418240
S171 WRITE pass=2 b=2684354560 c=10737418240
S171 WRITE pass=2 b=2952790016 c=10737418240
S171 WRITE pass=2 b=3221225472 c=10737418240
S171 WRITE pass=2 b=3489660928 c=10737418240
S171 WRITE pass=2 b=3758096384 c=10737418240
S171 WRITE pass=2 b=4026531840 c=10737418240
S171 WRITE pass=2 b=4294967296 c=10737418240
S171 WRITE pass=2 b=4563402752 c=10737418240
S171 WRITE pass=2 b=4831838208 c=10737418240
S171 WRITE pass=2 b=5100273664 c=10737418240
S171 WRITE pass=2 b=5368709120 c=10737418240
S171 WRITE pass=2 b=5637144576 c=10737418240
S171 WRITE pass=2 b=5905580032 c=10737418240
S171 WRITE pass=2 b=6174015488 c=10737418240
S171 WRITE pass=2 b=6442450944 c=10737418240
S171 WRITE pass=2 b=6710886400 c=10737418240
S171 WRITE pass=2 b=6979321856 c=10737418240
S171 WRITE pass=2 b=7247757312 c=10737418240
S171 WRITE pass=2 b=7516192768 c=10737418240
S171 WRITE pass=2 b=7784628224 c=10737418240
S171 WRITE pass=2 b=8053063680 c=10737418240
S171 WRITE pass=2 b=8321499136 c=10737418240
S171 WRITE pass=2 b=8589934592 c=10737418240
S171 WRITE pass=2 b=8858370048 c=10737418240
S171 WRITE pass=2 b=9126805504 c=10737418240
S171 WRITE pass=2 b=9395240960 c=10737418240
S171 WRITE pass=2 b=9663676416 c=10737418240
S171 WRITE pass=2 b=9932111872 c=10737418240
S171 WRITE pass=2 b=10200547328 c=10737418240
S171 WRITE pass=2 b=10468982784 c=10737418240
S171 WRITE pass=2 b=10737418240 c=10737418240
S171 READ pass=2 b=268435456 c=10737418240
S171 READ pass=2 b=536870912 c=10737418240
S171 READ pass=2 b=805306368 c=10737418240
S171 READ pass=2 b=1073741824 c=10737418240
S171 READ pass=2 b=1342177280 c=10737418240
S171 READ pass=2 b=1610612736 c=10737418240
S171 READ pass=2 b=1879048192 c=10737418240
S171 READ pass=2 b=2147483648 c=10737418240
S171 READ pass=2 b=2415919104 c=10737418240
S171 READ pass=2 b=2684354560 c=10737418240
S171 READ pass=2 b=2952790016 c=10737418240
S171 READ pass=2 b=3221225472 c=10737418240
S171 READ pass=2 b=3489660928 c=10737418240
S171 READ pass=2 b=3758096384 c=10737418240
S171 READ pass=2 b=4026531840 c=10737418240
S171 READ pass=2 b=4294967296 c=10737418240
S171 READ pass=2 b=4563402752 c=10737418240
S171 READ pass=2 b=4831838208 c=10737418240
S171 READ pass=2 b=5100273664 c=10737418240
S171 READ pass=2 b=5368709120 c=10737418240
S171 READ pass=2 b=5637144576 c=10737418240
S171 READ pass=2 b=5905580032 c=10737418240
S171 READ pass=2 b=6174015488 c=10737418240
S171 READ pass=2 b=6442450944 c=10737418240
S171 READ pass=2 b=6710886400 c=10737418240
S171 READ pass=2 b=6979321856 c=10737418240
S171 READ pass=2 b=7247757312 c=10737418240
S171 READ pass=2 b=7516192768 c=10737418240
S171 READ pass=2 b=7784628224 c=10737418240
S171 READ pass=2 b=8053063680 c=10737418240
S171 READ pass=2 b=8321499136 c=10737418240
S171 READ pass=2 b=8589934592 c=10737418240
S171 READ pass=2 b=8858370048 c=10737418240
S171 READ pass=2 b=9126805504 c=10737418240
S171 READ pass=2 b=9395240960 c=10737418240
S171 READ pass=2 b=9663676416 c=10737418240
S171 READ pass=2 b=9932111872 c=10737418240
S171 READ pass=2 b=10200547328 c=10737418240
S171 READ pass=2 b=10468982784 c=10737418240
S171 READ pass=2 b=10737418240 c=10737418240
S171 PASS pass=2 b=10737418240 c=4382707749730327651
S171 TIMING write_us=3846784 b=7127799 c=0
S171 COMPLETE bytes_per_pass=10737418240 b=3 c=28046
S140 CPU PASS active=8 threads=8 elapsed_us=103008 checksum=14964600543233568963
S140 DISK PASS active=8 bytes=67108864 elapsed_us=55278 failed=0 checksum=2755686512017749371
